program1;univ1;passgrade
PENDIDIKAN DOKTER;UNIVERSITAS INDONESIA;761
KEDOKTERAN;UNIVERSITAS GADJAH MADA;759
STEI - KOMPUTASI;INSTITUT TEKNOLOGI BANDUNG;758
ILMU KOMPUTER;UNIVERSITAS INDONESIA;749
KEDOKTERAN;UNIVERSITAS AIRLANGGA;745
FMIPA-MATEMATIKA;INSTITUT TEKNOLOGI BANDUNG;737
STEI - REKAYASA;INSTITUT TEKNOLOGI BANDUNG;725
AKUNTANSI;UNIVERSITAS INDONESIA;665
PSIKOLOGI;UNIVERSITAS GADJAH MADA;718
STATISTIKA DAN SAINS DATA;INSTITUT PERTANIAN BOGOR;717
FTMD (MESIN & DIRGANTARA);INSTITUT TEKNOLOGI BANDUNG;714
ARSITEKTUR;UNIVERSITAS INDONESIA;690
PENDIDIKAN DOKTER;UNIVERSITAS PADJADJARAN;709
FTSL - TEKNOLOGI LINGKUNGAN;INSTITUT TEKNOLOGI BANDUNG;709
FTSL - INFRASTRUKTUR SIPIL;INSTITUT TEKNOLOGI BANDUNG;708
FTI - SISTEM DAN PROSES;INSTITUT TEKNOLOGI BANDUNG;705
TEKNIK INDUSTRI;UNIVERSITAS INDONESIA;701
MANAJEMEN;UNIVERSITAS INDONESIA;696
FARMASI;UNIVERSITAS GADJAH MADA;682
ILMU EKONOMI;UNIVERSITAS INDONESIA;674
ILMU KOMUNIKASI;UNIVERSITAS INDONESIA;690
ILMU PSIKOLOGI;UNIVERSITAS INDONESIA;688
SBM (BISNIS & MANAJEMEN);INSTITUT TEKNOLOGI BANDUNG;693
ILMU HUKUM;UNIVERSITAS INDONESIA;684.58
GIZI;UNIVERSITAS INDONESIA;684
SITH - PROG REKAYASA;INSTITUT TEKNOLOGI BANDUNG;682
ARSITEKTUR INTERIOR;UNIVERSITAS INDONESIA;636
TEKNIK BIOMEDIS;UNIVERSITAS INDONESIA;676
ILMU ADMINISTRASI NIAGA;UNIVERSITAS INDONESIA;674
FSRD (SENI RUPA & DESAIN);INSTITUT TEKNOLOGI BANDUNG;674
FTTM (PERTAMBANGAN);INSTITUT TEKNOLOGI BANDUNG;671
TEKNOLOGI PANGAN;INSTITUT PERTANIAN BOGOR;665
FITB (KEBUMIAN);INSTITUT TEKNOLOGI BANDUNG;663
TEKNIK LINGKUNGAN;UNIVERSITAS INDONESIA;661
BIOLOGI;UNIVERSITAS INDONESIA;611
FARMASI;UNIVERSITAS INDONESIA;657.98
AGRIBISNIS;INSTITUT PERTANIAN BOGOR;634
FTI - REKAYASA INDUSTRI;INSTITUT TEKNOLOGI BANDUNG;632
TEKNIK ELEKTRO;UNIVERSITAS INDONESIA;702
ILMU GIZI;INSTITUT PERTANIAN BOGOR;683
ILMU HUBUNGAN INTERNASIONAL;UNIVERSITAS INDONESIA;683
TEKNIK GEOLOGI;UNIVERSITAS GADJAH MADA;638
